year,week,fire_count,avg_frp
2017,11,1277,11.73
2017,12,1646,14.67
2017,13,6116,16.81
2017,14,6223,16.43
2017,15,5019,17.49
2017,16,345,18.55
2017,17,135,16.79
2017,18,544,13.25
2017,19,219,14.26
2017,20,97,13.25
2017,21,60,19.14
2017,22,62,19.47
2017,23,25,9.49
2017,24,75,8.8
2017,25,60,9.66
2017,26,73,11.25
2017,27,91,13.51
2017,28,67,11.5
2017,29,58,12.64
2017,30,67,10.97
2017,31,60,9.26
2017,32,49,8.46
2017,33,139,11.28
2017,34,50,8.15
2017,35,234,8.61
2017,36,431,9.59
2017,37,87,5.88
2017,38,133,7.06
2017,39,73,9.55
2017,40,106,7.56
2017,41,349,13.75
2017,42,1492,13.05
2017,43,3316,18.51
2017,44,3909,23.28
2017,45,407,16.75
2017,46,2,15.35
2017,47,1,13.2
2017,48,19,14.47
2017,51,2,8.75
2017,52,3,25.2
2018,7,2,10.4
2018,8,92,13.19
2018,9,143,11.83
2018,11,37,17.76
2018,12,843,14.9
2018,13,2334,13.86
2018,14,1608,12.8
2018,15,809,13.77
2018,16,822,15.95
2018,17,1568,15.14
2018,18,169,17.83
2018,19,173,16.14
2018,20,72,12.35
2018,21,55,19.6
2018,22,56,13.29
2018,23,48,12.43
2018,24,34,11.17
2018,25,81,11.86
2018,26,45,10.45
2018,27,30,10.81
2018,28,70,9.91
2018,29,14,9.99
2018,30,88,9.7
2018,31,56,9.21
2018,32,96,8.22
2018,33,136,8.71
2018,34,22,8.08
2018,35,117,10.59
2018,36,140,8.5
2018,37,347,9.31
2018,38,190,6.09
2018,39,103,5.83
2018,40,83,6.54
2018,41,22,5.85
2018,42,21,13.89
2018,43,342,26.2
2018,44,169,27.93
2018,45,76,23.08
2018,46,1,13.1
2018,48,1,10.8
2019,2,1,14.5
2019,3,2,26.35
2019,4,8,16.04
2019,5,8,32.01
2019,6,7,31.8
2019,7,127,16.39
2019,8,917,21.25
2019,9,5297,18.29
2019,10,195,10.79
2019,11,147,13.27
2019,12,2591,20.11
2019,13,1298,15.68
2019,14,1487,15.61
2019,15,378,12.87
2019,16,274,12.57
2019,17,171,12.31
2019,18,133,10.08
2019,19,105,13.89
2019,20,49,10.12
2019,21,34,10.39
2019,22,19,9.29
2019,23,50,9.89
2019,24,55,8.57
2019,25,110,9.16
2019,26,10,16.35
2019,27,101,8.83
2019,28,72,9.42
2019,29,29,9.59
2019,30,41,7.9
2019,31,86,8.27
2019,32,11,7.85
2019,33,10,9.27
2019,34,29,7.48
2019,35,135,7.08
2019,36,169,7.61
2019,37,183,7.09
2019,38,147,5.98
2019,39,168,5.65
2019,40,41,6.64
2019,41,62,6.77
2019,42,56,5.45
2019,43,686,26.49
2019,44,186,27.22
2019,45,67,39.29
2019,46,2,11.3
